,Wavelength,Aug03A_E1_PSPQ_3pc_as_cast(ListNo.:4) Incident angle:0
0,249.525,0.0845448
1,250.739,0.06388350000000001
2,251.954,0.0541923
3,253.169,0.051217200000000004
4,254.38299999999998,0.0544288
5,255.59799999999998,0.0593092
6,256.813,0.06633739999999999
7,258.027,0.07276619999999999
8,259.242,0.07886239999999999
9,260.457,0.08308560000000001
10,261.671,0.0880745
11,262.88599999999997,0.09289760000000001
12,264.101,0.09945419999999999
13,265.315,0.106126
14,266.53,0.1137182
15,267.744,0.12054749999999999
16,268.959,0.1263631
17,270.17400000000004,0.13257529999999998
18,271.388,0.1422553
19,272.603,0.1559642
20,273.818,0.1758354
21,275.032,0.1996547
22,276.247,0.22727399999999998
23,277.462,0.25217280000000003
24,278.676,0.2702615
25,279.89099999999996,0.2749232
26,281.106,0.26664
27,282.32,0.242979
28,283.535,0.20911529999999998
29,284.75,0.1699109
30,285.964,0.1358876
31,287.17900000000003,0.11503379999999999
32,288.393,0.11440810000000001
33,289.608,0.134758
34,290.823,0.17291900000000002
35,292.03700000000003,0.21986570000000003
36,293.252,0.26975340000000003
37,294.467,0.31597659999999994
38,295.681,0.3563898
39,296.89599999999996,0.3886595
40,298.111,0.4136015
41,299.325,0.4320380999999999
42,300.54,0.4446857
43,301.755,0.4513135999999999
44,302.969,0.4525612
45,304.184,0.44950200000000007
46,305.39799999999997,0.4422707
47,306.613,0.4304804
48,307.828,0.41433059999999994
49,309.04200000000003,0.3950032
50,310.257,0.3723842
51,311.472,0.34689000000000003
52,312.686,0.319445
53,313.906,0.290229
54,315.128,0.2613913
55,316.349,0.23136869999999998
56,317.57099999999997,0.2026326
57,318.79200000000003,0.1740607
58,320.014,0.1478075
59,321.235,0.12310819999999999
60,322.457,0.10228200000000001
61,323.678,0.0843103
62,324.9,0.072338
63,326.121,0.06526749999999999
64,327.343,0.0646156
65,328.564,0.0689327
66,329.786,0.080455
67,331.00699999999995,0.096337
68,332.22900000000004,0.117415
69,333.45,0.1411936
70,334.67199999999997,0.169199
71,335.89300000000003,0.197901
72,337.115,0.2278123
73,338.336,0.2578812
74,339.55800000000005,0.2875567
75,340.779,0.31600029999999996
76,342.001,0.3428412
77,343.222,0.36807290000000004
78,344.444,0.3919414
79,345.665,0.4130637
80,346.88699999999994,0.4321015
81,348.108,0.4490349
82,349.33,0.46494090000000005
83,350.551,0.4785342000000001
84,351.773,0.4900956
85,352.994,0.5001912000000001
86,354.216,0.508089
87,355.43699999999995,0.5138504
88,356.659,0.5188043999999999
89,357.88,0.5213946
90,359.101,0.5211295
91,360.32300000000004,0.5186827
92,361.54400000000004,0.5132055999999999
93,362.76599999999996,0.5067107
94,363.98699999999997,0.49607470000000004
95,365.209,0.482308
96,366.434,0.46666759999999996
97,367.659,0.4485332
98,368.884,0.42894309999999997
99,370.11,0.4056462
100,371.335,0.3815662
101,372.56,0.3549448
102,373.785,0.32873070000000004
103,375.01,0.3010474
104,376.235,0.2731324
105,377.46,0.24650360000000002
106,378.686,0.221921
107,379.911,0.1986208
108,381.13599999999997,0.17800929999999998
109,382.361,0.15992720000000002
110,383.586,0.1459471
111,384.811,0.13412739999999998
112,386.037,0.1266333
113,387.26199999999994,0.12189080000000001
114,388.48699999999997,0.12166389999999999
115,389.712,0.12384289999999999
116,390.93699999999995,0.1298022
117,392.162,0.1366619
118,393.38800000000003,0.1465463
119,394.61300000000006,0.1579443
120,395.838,0.17187639999999998
121,397.06300000000005,0.1860381
122,398.288,0.20018870000000002
123,399.51300000000003,0.21478440000000001
124,400.73800000000006,0.2302283
125,401.964,0.24611220000000003
126,403.189,0.2626438
127,404.414,0.27654429999999997
128,405.645,0.29074770000000005
129,406.87800000000004,0.303706
130,408.11199999999997,0.3181295
131,409.346,0.32973109999999994
132,410.58,0.3412042
133,411.81300000000005,0.3520394
134,413.04699999999997,0.3630696
135,414.281,0.37213870000000004
136,415.515,0.37931
137,416.749,0.38794409999999996
138,417.98199999999997,0.39475609999999994
139,419.216,0.4017574
140,420.45,0.40665009999999996
141,421.684,0.4107206
142,422.917,0.4154103
143,424.151,0.4188617
144,425.385,0.42110240000000004
145,426.619,0.4235121
146,427.852,0.42452470000000003
147,429.086,0.42485280000000003
148,430.32,0.4249549
149,431.55400000000003,0.42456859999999996
150,432.788,0.42291949999999995
151,434.02099999999996,0.4214164000000001
152,435.255,0.41849759999999997
153,436.491,0.4162027
154,437.73,0.41332129999999995
155,438.968,0.4084659
156,440.207,0.403818
157,441.445,0.3989417
158,442.684,0.3940215
