,Wavelength,Aug03A_E1_405(ListNo.:198) Incident angle:0
0,249.525,0.0451133
1,250.739,0.0424593
2,251.954,0.0413089
3,253.169,0.039245
4,254.38299999999998,0.0390073
5,255.59799999999998,0.037206800000000005
6,256.813,0.0370164
7,258.027,0.035494
8,259.242,0.0360565
9,260.457,0.0347897
10,261.671,0.034836
11,262.88599999999997,0.0341911
12,264.101,0.0350938
13,265.315,0.035173800000000005
14,266.53,0.0361706
15,267.744,0.036581
16,268.959,0.038414800000000006
17,270.17400000000004,0.0396389
18,271.388,0.0421185
19,272.603,0.0440453
20,273.818,0.0470815
21,275.032,0.047999900000000005
22,276.247,0.050291699999999995
23,277.462,0.0505307
24,278.676,0.0518043
25,279.89099999999996,0.051637199999999994
26,281.106,0.0524504
27,282.32,0.0524189
28,283.535,0.054304700000000004
29,284.75,0.0547356
30,285.964,0.0584665
31,287.17900000000003,0.061862
32,288.393,0.06916060000000002
33,289.608,0.0754827
34,290.823,0.084843
35,292.03700000000003,0.094112
36,293.252,0.10607570000000001
37,294.467,0.1167753
38,295.681,0.1291308
39,296.89599999999996,0.1398414
40,298.111,0.1513534
41,299.325,0.16079820000000003
42,300.54,0.1696187
43,301.755,0.1766183
44,302.969,0.1825592
45,304.184,0.18605339999999998
46,305.39799999999997,0.18817
47,306.613,0.1877461
48,307.828,0.18669029999999998
49,309.04200000000003,0.1832329
50,310.257,0.1791067
51,311.472,0.172913
52,312.686,0.167504
53,313.906,0.1598858
54,315.128,0.15359679999999998
55,316.349,0.14611010000000002
56,317.57099999999997,0.1406486
57,318.79200000000003,0.13469160000000002
58,320.014,0.1309958
59,321.235,0.1274239
60,322.457,0.126926
61,323.678,0.12604970000000001
62,324.9,0.12925630000000002
63,326.121,0.1322624
64,327.343,0.1388721
65,328.564,0.145026
66,329.786,0.1544666
67,331.00699999999995,0.1635097
68,332.22900000000004,0.17530320000000002
69,333.45,0.1851875
70,334.67199999999997,0.19705599999999998
71,335.89300000000003,0.20707729999999996
72,337.115,0.21778289999999997
73,338.336,0.2263607
74,339.55800000000005,0.234098
75,340.779,0.2393245
76,342.001,0.24461739999999998
77,343.222,0.24603989999999998
78,344.444,0.2468134
79,345.665,0.24442170000000002
80,346.88699999999994,0.24189470000000002
81,348.108,0.23581590000000002
82,349.33,0.2290132
83,350.551,0.2200728
84,351.773,0.2110324
85,352.994,0.1995384
86,354.216,0.1890039
87,355.43699999999995,0.17680410000000002
88,356.659,0.16623770000000002
89,357.88,0.1546513
90,359.101,0.1453664
91,360.32300000000004,0.1362576
92,361.54400000000004,0.13056030000000002
93,362.76599999999996,0.12458910000000001
94,363.98699999999997,0.12242180000000001
95,365.209,0.12172460000000002
96,366.434,0.1256067
97,367.659,0.12997999999999998
98,368.884,0.13843770000000002
99,370.11,0.1473847
100,371.335,0.1603215
101,372.56,0.1723656
102,373.785,0.1872983
103,375.01,0.20082750000000002
104,376.235,0.21685900000000002
105,377.46,0.23018089999999997
106,378.686,0.2444317
107,379.911,0.25640100000000005
108,381.13599999999997,0.26939
109,382.361,0.2793348
110,383.586,0.2892217
111,384.811,0.2963573
112,386.037,0.3040766
113,387.26199999999994,0.30752090000000004
114,388.48699999999997,0.3118514
115,389.712,0.3118709
116,390.93699999999995,0.3135235
117,392.162,0.31147929999999996
118,393.38800000000003,0.3096929
119,394.61300000000006,0.30507049999999997
120,395.838,0.3009805
121,397.06300000000005,0.2930207
122,398.288,0.2870848
123,399.51300000000003,0.27873020000000004
124,400.73800000000006,0.2710594
125,401.964,0.2596197
126,403.189,0.25031060000000005
127,404.414,0.2385803
128,405.645,0.2294516
129,406.87800000000004,0.2169049
130,408.11199999999997,0.2068498
131,409.346,0.194643
132,410.58,0.1852692
133,411.81300000000005,0.1740079
134,413.04699999999997,0.16567120000000002
135,414.281,0.1560142
136,415.515,0.1500344
137,416.749,0.1419436
138,417.98199999999997,0.13707629999999998
139,419.216,0.13165710000000003
140,420.45,0.129679
141,421.684,0.12705360000000002
142,422.917,0.12784469999999998
143,424.151,0.1282784
144,425.385,0.1324804
145,426.619,0.1352086
146,427.852,0.141381
147,429.086,0.1467844
148,430.32,0.15612479999999998
149,431.55400000000003,0.16339379999999998
150,432.788,0.1742443
151,434.02099999999996,0.18394370000000002
152,435.255,0.19618629999999998
153,436.491,0.20601420000000004
154,437.73,0.2183241
155,438.968,0.2286909
156,440.207,0.2421724
157,441.445,0.251967
158,442.684,0.2642763
159,443.92199999999997,0.27346170000000003
160,445.161,0.28560599999999997
161,446.399,0.294052
162,447.63800000000003,0.3040893
163,448.876,0.31188509999999997
164,450.115,0.32105279999999997
165,451.353,0.32643449999999996
166,452.592,0.33446090000000006
167,453.83,0.33816399999999996
168,455.069,0.345122
169,456.30699999999996,0.34733059999999993
170,457.546,0.3517744
171,458.784,0.35329140000000003
172,460.023,0.3567402
173,461.26099999999997,0.3563086
174,462.5,0.3589093
175,463.73800000000006,0.3569353
176,464.977,0.3578898
177,466.215,0.3553502
178,467.454,0.35470949999999996
179,468.69199999999995,0.3510963
180,469.931,0.3496154
181,471.16900000000004,0.34396129999999997
182,472.408,0.34183559999999996
183,473.64599999999996,0.33487790000000006
184,474.885,0.3324335
185,476.12300000000005,0.32476659999999996
186,477.36199999999997,0.32067779999999996
187,478.6,0.3127138
188,479.839,0.3085527
189,481.077,0.2991611
190,482.316,0.2939845
191,483.55400000000003,0.28419190000000005
192,484.793,0.2779399
193,486.031,0.2693745
194,487.27,0.2641868
195,488.50800000000004,0.2556146
196,489.74699999999996,0.24876279999999998
